,STATION,DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
151,USW00093738,2015-06-01,5.59,0.06,0.0,78,88,69,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
152,USW00093738,2015-06-02,8.95,0.16,0.0,65,70,57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,USW00093738,2015-06-03,6.26,0.0,0.0,58,60,56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,USW00093738,2015-06-04,5.82,0.73,0.0,58,61,55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,USW00093738,2015-06-05,3.58,0.0,0.0,62,74,56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,USW00093738,2015-06-06,8.05,0.0,0.0,69,79,58,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
157,USW00093738,2015-06-07,7.61,0.0,0.0,69,77,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,USW00093738,2015-06-08,10.96,1.05,0.0,72,87,62,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
159,USW00093738,2015-06-09,9.84,0.0,0.0,74,84,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,USW00093738,2015-06-10,5.37,0.0,0.0,72,82,57,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
161,USW00093738,2015-06-11,4.92,0.0,0.0,78,92,66,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
162,USW00093738,2015-06-12,7.16,0.02,0.0,81,91,71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,USW00093738,2015-06-13,4.7,0.0,0.0,78,89,69,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
164,USW00093738,2015-06-14,3.13,0.0,0.0,80,90,70,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
